complaint_text,risk_encoded
Product warranty activation me problem ho raha hai bahut disappointed hoon,1
Product packaging slightly damaged but item works fine please resolve soon,0
"Major safety hazard in product, recall immediately",3
Call center repeatedly disconnected me during support call,1
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
Customer support refused to resolve issue even after repeated complaints,2
Delivery was slightly delayed but not a problem I will take legal action,0
Customer care did not respond to my repeated emails regarding refund I will take legal action,1
"Sensitive personal data leak hua, urgent action needed I will take legal action",3
Minor billing discrepancy in my last invoice please resolve soon,0
I was charged $2 extra for my subscription last month bahut disappointed hoon,0
The delivery executive was rude and unprofessional during handover bahut disappointed hoon,2
The delivery executive was rude and unprofessional during handover,2
Product warranty activation me problem ho raha hai bahut disappointed hoon,1
Received wrong color variant but can use it I will take legal action,0
Product packaging slightly damaged but item works fine bahut disappointed hoon,0
Product stopped working within few days of purchase immediately action lo,2
"I was charged multiple times for the same product, causing financial loss bahut disappointed hoon",2
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
"Mera internet connection 2 din se unstable hai, please fix asap I will take legal action",1
"Received incomplete items in my order, please assist please resolve soon",1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein I will take legal action,3
Product packaging slightly damaged but item works fine please resolve soon,0
"Received incomplete items in my order, please assist I will take legal action",1
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
Call center repeatedly disconnected me during support call yeh unacceptable hai,1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein,3
Delivery was slightly delayed but not a problem please resolve soon,0
Account was temporarily blocked without reason causing inconvenience please resolve soon,2
"Product caused injury while using, medical attention required I will take legal action",3
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
"Sensitive personal data leak hua, urgent action needed immediately action lo",3
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
"Received incomplete items in my order, please assist please resolve soon",1
Product warranty activation me problem ho raha hai I will take legal action,1
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
Customer support refused to resolve issue even after repeated complaints,2
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein please resolve soon,3
Delivery was slightly delayed but not a problem,0
Customer care did not respond to my repeated emails regarding refund bahut disappointed hoon,1
"I was charged multiple times for the same product, causing financial loss please resolve soon",2
Product packaging slightly damaged but item works fine,0
Received wrong color variant but can use it,0
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein yeh unacceptable hai,3
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
Delivery was slightly delayed but not a problem,0
I was charged $2 extra for my subscription last month,0
Customer care did not respond to my repeated emails regarding refund,1
"Received incomplete items in my order, please assist please resolve soon",1
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
Customer care did not respond to my repeated emails regarding refund,1
"Product caused injury while using, medical attention required please resolve soon",3
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
Call center repeatedly disconnected me during support call immediately action lo,1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein bahut disappointed hoon,3
The delivery executive was rude and unprofessional during handover please resolve soon,2
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
"Received incomplete items in my order, please assist",1
"Major safety hazard in product, recall immediately bahut disappointed hoon",3
"Sensitive personal data leak hua, urgent action needed yeh unacceptable hai",3
"I was charged multiple times for the same product, causing financial loss",2
Call center repeatedly disconnected me during support call,1
"Mera internet connection 2 din se unstable hai, please fix asap bahut disappointed hoon",1
"Major safety hazard in product, recall immediately I will take legal action",3
Customer support refused to resolve issue even after repeated complaints bahut disappointed hoon,2
I was charged $2 extra for my subscription last month yeh unacceptable hai,0
"Sensitive personal data leak hua, urgent action needed please resolve soon",3
Product warranty activation me problem ho raha hai,1
Minor billing discrepancy in my last invoice yeh unacceptable hai,0
Call center repeatedly disconnected me during support call immediately action lo,1
Product packaging slightly damaged but item works fine please resolve soon,0
"Major safety hazard in product, recall immediately I will take legal action",3
The delivery executive was rude and unprofessional during handover bahut disappointed hoon,2
Customer care did not respond to my repeated emails regarding refund bahut disappointed hoon,1
"Product caused injury while using, medical attention required immediately action lo",3
Delivery was slightly delayed but not a problem please resolve soon,0
Customer care did not respond to my repeated emails regarding refund yeh unacceptable hai,1
"Sensitive personal data leak hua, urgent action needed I will take legal action",3
Product warranty activation me problem ho raha hai,1
Minor billing discrepancy in my last invoice please resolve soon,0
Minor billing discrepancy in my last invoice I will take legal action,0
"Major safety hazard in product, recall immediately yeh unacceptable hai",3
"Received incomplete items in my order, please assist bahut disappointed hoon",1
Customer care did not respond to my repeated emails regarding refund,1
Product stopped working within few days of purchase please resolve soon,2
"Product caused injury while using, medical attention required please resolve soon",3
Company has violated legal terms and sent misleading invoices repeatedly yeh unacceptable hai,3
Delivery was slightly delayed but not a problem yeh unacceptable hai,0
Received wrong color variant but can use it bahut disappointed hoon,0
The delivery executive was rude and unprofessional during handover bahut disappointed hoon,2
Call center repeatedly disconnected me during support call please resolve soon,1
Received wrong color variant but can use it,0
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
"Product caused injury while using, medical attention required bahut disappointed hoon",3
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
Account was temporarily blocked without reason causing inconvenience,2
Customer support refused to resolve issue even after repeated complaints bahut disappointed hoon,2
Product packaging slightly damaged but item works fine,0
Call center repeatedly disconnected me during support call,1
Account was temporarily blocked without reason causing inconvenience,2
Product warranty activation me problem ho raha hai bahut disappointed hoon,1
"Sensitive personal data leak hua, urgent action needed immediately action lo",3
"Sensitive personal data leak hua, urgent action needed bahut disappointed hoon",3
Product stopped working within few days of purchase yeh unacceptable hai,2
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
Product stopped working within few days of purchase I will take legal action,2
Product stopped working within few days of purchase bahut disappointed hoon,2
Received wrong color variant but can use it bahut disappointed hoon,0
Customer care did not respond to my repeated emails regarding refund bahut disappointed hoon,1
"Sensitive personal data leak hua, urgent action needed immediately action lo",3
I was charged $2 extra for my subscription last month I will take legal action,0
"Product caused injury while using, medical attention required",3
The delivery executive was rude and unprofessional during handover I will take legal action,2
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
Customer care did not respond to my repeated emails regarding refund,1
"I was charged multiple times for the same product, causing financial loss I will take legal action",2
Delivery was slightly delayed but not a problem I will take legal action,0
Company has violated legal terms and sent misleading invoices repeatedly,3
Delivery was slightly delayed but not a problem bahut disappointed hoon,0
"Mera internet connection 2 din se unstable hai, please fix asap immediately action lo",1
Product stopped working within few days of purchase I will take legal action,2
The delivery executive was rude and unprofessional during handover bahut disappointed hoon,2
"Product caused injury while using, medical attention required",3
"Mera internet connection 2 din se unstable hai, please fix asap",1
Product warranty activation me problem ho raha hai I will take legal action,1
Product stopped working within few days of purchase I will take legal action,2
Received wrong color variant but can use it immediately action lo,0
"Major safety hazard in product, recall immediately yeh unacceptable hai",3
I was charged $2 extra for my subscription last month I will take legal action,0
Minor billing discrepancy in my last invoice I will take legal action,0
Call center repeatedly disconnected me during support call,1
Account was temporarily blocked without reason causing inconvenience I will take legal action,2
I was charged $2 extra for my subscription last month please resolve soon,0
Minor billing discrepancy in my last invoice I will take legal action,0
Delivery was slightly delayed but not a problem bahut disappointed hoon,0
"Product caused injury while using, medical attention required please resolve soon",3
Product stopped working within few days of purchase immediately action lo,2
Account was temporarily blocked without reason causing inconvenience please resolve soon,2
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
Product packaging slightly damaged but item works fine I will take legal action,0
"I was charged multiple times for the same product, causing financial loss I will take legal action",2
Call center repeatedly disconnected me during support call immediately action lo,1
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
Company has violated legal terms and sent misleading invoices repeatedly bahut disappointed hoon,3
Account was temporarily blocked without reason causing inconvenience bahut disappointed hoon,2
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
Received wrong color variant but can use it immediately action lo,0
"Received incomplete items in my order, please assist I will take legal action",1
"Mera internet connection 2 din se unstable hai, please fix asap I will take legal action",1
"Sensitive personal data leak hua, urgent action needed yeh unacceptable hai",3
Product warranty activation me problem ho raha hai please resolve soon,1
Received wrong color variant but can use it immediately action lo,0
Customer care did not respond to my repeated emails regarding refund immediately action lo,1
Customer support refused to resolve issue even after repeated complaints immediately action lo,2
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein I will take legal action,3
Account was temporarily blocked without reason causing inconvenience I will take legal action,2
"Received incomplete items in my order, please assist please resolve soon",1
"Major safety hazard in product, recall immediately immediately action lo",3
Product packaging slightly damaged but item works fine immediately action lo,0
Product warranty activation me problem ho raha hai,1
Product stopped working within few days of purchase bahut disappointed hoon,2
"Mera internet connection 2 din se unstable hai, please fix asap I will take legal action",1
Product packaging slightly damaged but item works fine please resolve soon,0
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
"Product caused injury while using, medical attention required immediately action lo",3
Company has violated legal terms and sent misleading invoices repeatedly immediately action lo,3
Call center repeatedly disconnected me during support call please resolve soon,1
Call center repeatedly disconnected me during support call,1
Product warranty activation me problem ho raha hai yeh unacceptable hai,1
"Product caused injury while using, medical attention required immediately action lo",3
"Received incomplete items in my order, please assist",1
Call center repeatedly disconnected me during support call yeh unacceptable hai,1
Product packaging slightly damaged but item works fine yeh unacceptable hai,0
Call center repeatedly disconnected me during support call immediately action lo,1
"Received incomplete items in my order, please assist",1
Product stopped working within few days of purchase bahut disappointed hoon,2
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
Company has violated legal terms and sent misleading invoices repeatedly I will take legal action,3
Company has violated legal terms and sent misleading invoices repeatedly immediately action lo,3
Received wrong color variant but can use it,0
I was charged $2 extra for my subscription last month I will take legal action,0
"Product caused injury while using, medical attention required",3
Product packaging slightly damaged but item works fine yeh unacceptable hai,0
Minor billing discrepancy in my last invoice bahut disappointed hoon,0
Minor billing discrepancy in my last invoice I will take legal action,0
Call center repeatedly disconnected me during support call please resolve soon,1
"Mera internet connection 2 din se unstable hai, please fix asap immediately action lo",1
Received wrong color variant but can use it immediately action lo,0
Minor billing discrepancy in my last invoice I will take legal action,0
Company has violated legal terms and sent misleading invoices repeatedly I will take legal action,3
Call center repeatedly disconnected me during support call please resolve soon,1
"Sensitive personal data leak hua, urgent action needed bahut disappointed hoon",3
"Received incomplete items in my order, please assist please resolve soon",1
I was charged $2 extra for my subscription last month yeh unacceptable hai,0
Product stopped working within few days of purchase immediately action lo,2
Minor billing discrepancy in my last invoice bahut disappointed hoon,0
Product packaging slightly damaged but item works fine,0
I was charged $2 extra for my subscription last month I will take legal action,0
Received wrong color variant but can use it bahut disappointed hoon,0
I was charged $2 extra for my subscription last month bahut disappointed hoon,0
"Major safety hazard in product, recall immediately bahut disappointed hoon",3
Company has violated legal terms and sent misleading invoices repeatedly bahut disappointed hoon,3
Account was temporarily blocked without reason causing inconvenience bahut disappointed hoon,2
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
"Major safety hazard in product, recall immediately please resolve soon",3
I was charged $2 extra for my subscription last month,0
Product warranty activation me problem ho raha hai bahut disappointed hoon,1
Company has violated legal terms and sent misleading invoices repeatedly I will take legal action,3
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
Company has violated legal terms and sent misleading invoices repeatedly bahut disappointed hoon,3
Delivery was slightly delayed but not a problem yeh unacceptable hai,0
I was charged $2 extra for my subscription last month immediately action lo,0
Call center repeatedly disconnected me during support call immediately action lo,1
Minor billing discrepancy in my last invoice please resolve soon,0
"I was charged multiple times for the same product, causing financial loss bahut disappointed hoon",2
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
"Major safety hazard in product, recall immediately",3
Received wrong color variant but can use it yeh unacceptable hai,0
Product warranty activation me problem ho raha hai bahut disappointed hoon,1
Product stopped working within few days of purchase immediately action lo,2
Product packaging slightly damaged but item works fine bahut disappointed hoon,0
Call center repeatedly disconnected me during support call bahut disappointed hoon,1
Customer care did not respond to my repeated emails regarding refund yeh unacceptable hai,1
"Received incomplete items in my order, please assist please resolve soon",1
The delivery executive was rude and unprofessional during handover I will take legal action,2
Company has violated legal terms and sent misleading invoices repeatedly immediately action lo,3
Delivery was slightly delayed but not a problem bahut disappointed hoon,0
The delivery executive was rude and unprofessional during handover bahut disappointed hoon,2
"Received incomplete items in my order, please assist bahut disappointed hoon",1
"Sensitive personal data leak hua, urgent action needed immediately action lo",3
Call center repeatedly disconnected me during support call,1
Product warranty activation me problem ho raha hai immediately action lo,1
Delivery was slightly delayed but not a problem immediately action lo,0
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein immediately action lo,3
"Sensitive personal data leak hua, urgent action needed immediately action lo",3
Product stopped working within few days of purchase bahut disappointed hoon,2
"I was charged multiple times for the same product, causing financial loss please resolve soon",2
Company has violated legal terms and sent misleading invoices repeatedly immediately action lo,3
"I was charged multiple times for the same product, causing financial loss please resolve soon",2
"Major safety hazard in product, recall immediately yeh unacceptable hai",3
Product warranty activation me problem ho raha hai immediately action lo,1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein immediately action lo,3
"Product caused injury while using, medical attention required please resolve soon",3
"I was charged multiple times for the same product, causing financial loss",2
Product packaging slightly damaged but item works fine bahut disappointed hoon,0
Delivery was slightly delayed but not a problem,0
Account was temporarily blocked without reason causing inconvenience yeh unacceptable hai,2
Product warranty activation me problem ho raha hai please resolve soon,1
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
"Product caused injury while using, medical attention required please resolve soon",3
Minor billing discrepancy in my last invoice yeh unacceptable hai,0
Company has violated legal terms and sent misleading invoices repeatedly yeh unacceptable hai,3
I was charged $2 extra for my subscription last month,0
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
Product packaging slightly damaged but item works fine I will take legal action,0
"Sensitive personal data leak hua, urgent action needed I will take legal action",3
Delivery was slightly delayed but not a problem I will take legal action,0
"Mera internet connection 2 din se unstable hai, please fix asap please resolve soon",1
The delivery executive was rude and unprofessional during handover please resolve soon,2
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
Product packaging slightly damaged but item works fine immediately action lo,0
"Sensitive personal data leak hua, urgent action needed yeh unacceptable hai",3
The delivery executive was rude and unprofessional during handover immediately action lo,2
Product packaging slightly damaged but item works fine,0
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
"Mera internet connection 2 din se unstable hai, please fix asap bahut disappointed hoon",1
Customer support refused to resolve issue even after repeated complaints immediately action lo,2
I was charged $2 extra for my subscription last month I will take legal action,0
Received wrong color variant but can use it,0
Delivery was slightly delayed but not a problem I will take legal action,0
"Major safety hazard in product, recall immediately immediately action lo",3
"Major safety hazard in product, recall immediately immediately action lo",3
"I was charged multiple times for the same product, causing financial loss please resolve soon",2
Delivery was slightly delayed but not a problem I will take legal action,0
"Received incomplete items in my order, please assist",1
Product warranty activation me problem ho raha hai I will take legal action,1
Customer support refused to resolve issue even after repeated complaints immediately action lo,2
Customer support refused to resolve issue even after repeated complaints I will take legal action,2
Call center repeatedly disconnected me during support call I will take legal action,1
Product packaging slightly damaged but item works fine immediately action lo,0
Company has violated legal terms and sent misleading invoices repeatedly bahut disappointed hoon,3
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
Product warranty activation me problem ho raha hai immediately action lo,1
Call center repeatedly disconnected me during support call immediately action lo,1
The delivery executive was rude and unprofessional during handover please resolve soon,2
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
Minor billing discrepancy in my last invoice immediately action lo,0
"I was charged multiple times for the same product, causing financial loss",2
Product stopped working within few days of purchase I will take legal action,2
"Sensitive personal data leak hua, urgent action needed bahut disappointed hoon",3
Account was temporarily blocked without reason causing inconvenience I will take legal action,2
"Major safety hazard in product, recall immediately immediately action lo",3
Company has violated legal terms and sent misleading invoices repeatedly,3
Minor billing discrepancy in my last invoice yeh unacceptable hai,0
Customer support refused to resolve issue even after repeated complaints bahut disappointed hoon,2
"Received incomplete items in my order, please assist yeh unacceptable hai",1
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
"Mera internet connection 2 din se unstable hai, please fix asap yeh unacceptable hai",1
Product warranty activation me problem ho raha hai immediately action lo,1
Product stopped working within few days of purchase,2
"Product caused injury while using, medical attention required bahut disappointed hoon",3
Customer care did not respond to my repeated emails regarding refund please resolve soon,1
"I was charged multiple times for the same product, causing financial loss please resolve soon",2
The delivery executive was rude and unprofessional during handover I will take legal action,2
Delivery was slightly delayed but not a problem yeh unacceptable hai,0
Account was temporarily blocked without reason causing inconvenience I will take legal action,2
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein bahut disappointed hoon,3
Product stopped working within few days of purchase immediately action lo,2
Call center repeatedly disconnected me during support call bahut disappointed hoon,1
Company has violated legal terms and sent misleading invoices repeatedly yeh unacceptable hai,3
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
"Product caused injury while using, medical attention required",3
Product packaging slightly damaged but item works fine bahut disappointed hoon,0
"Sensitive personal data leak hua, urgent action needed",3
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
The delivery executive was rude and unprofessional during handover please resolve soon,2
Product packaging slightly damaged but item works fine immediately action lo,0
The delivery executive was rude and unprofessional during handover please resolve soon,2
"Mera internet connection 2 din se unstable hai, please fix asap I will take legal action",1
Customer care did not respond to my repeated emails regarding refund please resolve soon,1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein please resolve soon,3
"I was charged multiple times for the same product, causing financial loss immediately action lo",2
Minor billing discrepancy in my last invoice bahut disappointed hoon,0
Received wrong color variant but can use it yeh unacceptable hai,0
Account was temporarily blocked without reason causing inconvenience,2
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
Minor billing discrepancy in my last invoice I will take legal action,0
Minor billing discrepancy in my last invoice immediately action lo,0
"Product caused injury while using, medical attention required",3
"Major safety hazard in product, recall immediately please resolve soon",3
Minor billing discrepancy in my last invoice please resolve soon,0
"Received incomplete items in my order, please assist immediately action lo",1
"Received incomplete items in my order, please assist I will take legal action",1
Received wrong color variant but can use it I will take legal action,0
The delivery executive was rude and unprofessional during handover please resolve soon,2
"Major safety hazard in product, recall immediately bahut disappointed hoon",3
